-1.1743,0.3638,8.5132,-1.0449,-0.21757,-0.53716,77.59,53.98,30.57,0.98432,0.032565,0.032284,-0.17033,3.053,4.281,-19.52
-1.6656,0.5634,7.1173,-1.0405,-0.28456,-0.56886,77.59,53.98,30.57,0.98314,0.034717,0.036063,-0.17588,3.1971,4.768,-20.153
-1.5753,0.7568,5.6818,-1.0148,-0.43916,-0.60547,77.59,53.98,30.57,0.98199,0.037763,0.039887,-0.18078,3.4397,5.2781,-20.703
-1.2903,0.8746,4.7479,-0.97206,-0.58137,-0.64329,77.59,53.98,30.57,0.98084,0.041637,0.043052,-0.18538,3.787,5.7329,-21.215
-1.0455,1.2183,2.7686,-0.90947,-0.74636,-0.67152,77.59,53.98,30.57,0.97992,0.047173,0.04539,-0.18831,4.3466,6.1265,-21.523
0.0378,1.0175,1.1835,-0.81866,-0.79002,-0.68098,77.59,53.98,30.57,0.97936,0.053374,0.042648,-0.19023,5.0946,5.9604,-21.719
0.5682,1.1963,-0.5066,-0.71,-0.804,-0.67937,77.59,53.98,30.57,0.97898,0.059105,0.038341,-0.19142,5.8274,5.6066,-21.841
1.684,0.8533,-1.6199,-0.57804,-0.72065,-0.66073,77.59,53.98,30.57,0.97875,0.061945,0.03135,-0.19293,6.29,4.8915,-22.034
2.7344,0.376,-1.568,-0.44848,-0.51904,-0.62279,77.59,53.98,30.57,0.97868,0.062175,0.023684,-0.1943,6.4754,4.0438,-22.229
3.4216,0.0964,-1.04,-0.36579,-0.33636,-0.58908,77.59,53.98,30.57,0.97865,0.061346,0.016104,-0.19551,6.5432,3.182,-22.413
3.4259,0.2795,0.3119,-0.25246,-0.064979,-0.53555,77.59,53.98,30.57,0.97857,0.060637,0.0086708,-0.19657,6.6246,2.3388,-22.581
3.0206,0.4034,1.2555,-0.15846,0.11612,-0.48909,77.59,53.98,30.57,0.97843,0.060127,0.0013428,-0.19765,6.7288,1.5125,-22.752
2.3267,0.1056,1.8176,-0.062046,0.19387,-0.45288,77.59,53.98,30.57,0.97824,0.058786,-0.0058148,-0.19889,6.7383,0.68801,-22.945
2.0819,-0.2002,1.7615,0.039549,0.20586,-0.42743,77.59,53.98,30.57,0.97805,0.056445,-0.012695,-0.20017,6.6321,-0.1281,-23.14
2.0483,-0.3455,1.8585,0.15938,0.14914,-0.41092,77.59,53.98,30.57,0.97783,0.053632,-0.019409,-0.20148,6.4723,-0.93659,-23.338
2.3865,-0.3198,2.6892,0.28602,0.10079,-0.39176,118.08,-141.69,37.37,0.97901,0.051365,-0.022267,-0.19598,6.2767,-1.3446,-22.714
